0F-InvertedOnlyMD5,0-InvertedOnlyPids,11-System_FileName,13F-System_Size,14F-System_FileAttributes,15F-System_DateModified,16F-System_DateCreated,17F-System_DateAccessed,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4334-System_ContentType,4346-System_DateImported,4352-System_Document_DateCreated,4354-System_Document_DateSaved,4373-System_FileExtension,4378-System_FilePlaceholderStatus,4410-System_IsAttachment,4412-System_IsEncrypted,4415-System_IsFolder,4419-System_ItemDate,4421-System_ItemFolderPathDisplay,4422-System_ItemFolderPathDisplayNarrow,4423-System_ItemName,4424-System_ItemNameDisplay,4425-System_ItemNameDisplayWithoutExtension,4428-System_ItemPathDisplay,4429-System_ItemPathDisplayNarrow,4431-System_ItemType,4437-System_Kind,4438-System_KindText,4453-System_MIMEType,4546-System_ParsingName,4604-System_SFGAOFlags,4605-System_Search_AccessCount,4612F-System_Search_GatherTime,4614-System_Search_LastIndexedTotalTime,4618-System_Search_Store,4651-System_SyncTransferStatusFlags,4655-System_ThumbnailCacheId,5-System_ItemTypeText,WorkID
"A67A9066EF0DF61A05BD7A6B39FADA83","15124E12","ProjectE.py","8795","Archive (32)","12/03/2018 23:21:50.8999612","26/04/2018 18:35:29.4231620","26/04/2018 18:35:29.4231620","file:C:/Users/itsupport/Dropbox/ProjectE/ProjectE.py","ProjectE","text/plain","12/03/2018 23:21:50.8999612","12/03/2018 23:21:50.8999612","12/03/2018 23:21:50.8999612",".py","6","False","False","False","12/03/2018 23:21:50.8999612","C:\Users\itsupport\Dropbox\ProjectE","ProjectE (C:\Users\itsupport\Dropbox)","ProjectE.py","ProjectE.py","ProjectE","C:\Users\itsupport\Dropbox\ProjectE\ProjectE.py","ProjectE (C:\Users\itsupport\Dropbox\ProjectE)",".py","document","Document","text/plain","ProjectE.py","1077936503","0","26/04/2018 18:35:51.9700256","0,015625","file","1","C49A18A5522E3184","Python File","2932"
"792C43FB89369CC968CC7B57AB233F62","15124E12","__init__.py","0","Archive (32)","12/03/2018 23:21:50.8999612","26/04/2018 18:35:30.8804386","26/04/2018 18:35:30.8804386","file:C:/Users/itsupport/Dropbox/ProjectE/etc/__init__.py","etc","text/plain","12/03/2018 23:21:50.8999612","12/03/2018 23:21:50.8999612","12/03/2018 23:21:50.8999612",".py","6","False","False","False","12/03/2018 23:21:50.8999612","C:\Users\itsupport\Dropbox\ProjectE\etc","etc (C:\Users\itsupport\Dropbox\ProjectE)","__init__.py","__init__.py","__init__","C:\Users\itsupport\Dropbox\ProjectE\etc\__init__.py","__init__ (C:\Users\itsupport\Dropbox\ProjectE\etc)",".py","document","Document","text/plain","__init__.py","1077936503","0","26/04/2018 18:35:50.9544714","0","file","1","ED6D0940ADE85531","Python File","3033"
"792C43FB89369CC968CC7B57AB233F62","15124E12","__init__.py","0","Archive (32)","12/03/2018 23:21:50.9156222","26/04/2018 18:35:30.9387658","26/04/2018 18:35:30.9387658","file:C:/Users/itsupport/Dropbox/ProjectE/etc/descriptions/__init__.py","descriptions","text/plain","12/03/2018 23:21:50.9156222","12/03/2018 23:21:50.9156222","12/03/2018 23:21:50.9156222",".py","6","False","False","False","12/03/2018 23:21:50.9156222","C:\Users\itsupport\Dropbox\ProjectE\etc\descriptions","descriptions (C:\Users\itsupport\Dropbox\ProjectE\etc)","__init__.py","__init__.py","__init__","C:\Users\itsupport\Dropbox\ProjectE\etc\descriptions\__init__.py","__init__ (C:\Users\itsupport\Dropbox\ProjectE\etc\descriptions)",".py","document","Document","text/plain","__init__.py","1077936503","0","26/04/2018 18:35:50.9233731","0","file","1","EF0BD3948C36F59E","Python File","3038"
"2FF82893518805A1D2AE7BD856DED860","15124E12","Config.py","1219","Archive (32)","12/03/2018 23:21:50.9312574","26/04/2018 18:35:30.9700089","26/04/2018 18:35:30.9700089","file:C:/Users/itsupport/Dropbox/ProjectE/libem/Config.py","libem","text/plain","12/03/2018 23:21:50.9312574","12/03/2018 23:21:50.9312574","12/03/2018 23:21:50.9312574",".py","6","False","False","False","12/03/2018 23:21:50.9312574","C:\Users\itsupport\Dropbox\ProjectE\libem","libem (C:\Users\itsupport\Dropbox\ProjectE)","Config.py","Config.py","Config","C:\Users\itsupport\Dropbox\ProjectE\libem\Config.py","Config (C:\Users\itsupport\Dropbox\ProjectE\libem)",".py","document","Document","text/plain","Config.py","1077936503","0","26/04/2018 18:35:50.9233731","0","file","1","4178BEE79CA1DF4B","Python File","3041"
"9EC83350933DC98BB137C4EB6921327B","15124E12","DbHandler.py","8311","Archive (32)","12/03/2018 23:21:50.9469650","26/04/2018 18:35:31.0012603","26/04/2018 18:35:31.0012603","file:C:/Users/itsupport/Dropbox/ProjectE/libem/DbHandler.py","libem","text/plain","12/03/2018 23:21:50.9469650","12/03/2018 23:21:50.9469650","12/03/2018 23:21:50.9469650",".py","6","False","False","False","12/03/2018 23:21:50.9469650","C:\Users\itsupport\Dropbox\ProjectE\libem","libem (C:\Users\itsupport\Dropbox\ProjectE)","DbHandler.py","DbHandler.py","DbHandler","C:\Users\itsupport\Dropbox\ProjectE\libem\DbHandler.py","DbHandler (C:\Users\itsupport\Dropbox\ProjectE\libem)",".py","document","Document","text/plain","DbHandler.py","1077936503","0","26/04/2018 18:35:50.9075359","0","file","1","5CD6FD0BE08834FF","Python File","3043"
"F7AB3309C03A1EA2F5CF32D867AB5DB1","15124E12","elastichandler.py","11518","Archive (32)","12/03/2018 23:21:50.9626072","26/04/2018 18:35:31.0170484","26/04/2018 18:35:31.0170484","file:C:/Users/itsupport/Dropbox/ProjectE/libem/elastichandler.py","libem","text/plain","12/03/2018 23:21:50.9626072","12/03/2018 23:21:50.9626072","12/03/2018 23:21:50.9626072",".py","6","False","False","False","12/03/2018 23:21:50.9626072","C:\Users\itsupport\Dropbox\ProjectE\libem","libem (C:\Users\itsupport\Dropbox\ProjectE)","elastichandler.py","elastichandler.py","elastichandler","C:\Users\itsupport\Dropbox\ProjectE\libem\elastichandler.py","elastichandler (C:\Users\itsupport\Dropbox\ProjectE\libem)",".py","document","Document","text/plain","elastichandler.py","1077936503","0","26/04/2018 18:35:50.9075359","0","file","1","36B4A131EF7D3480","Python File","3045"
"C0A5A887734A25E219743FB38712F39D","15124E12","ProgressManager.py","2838","Archive (32)","12/03/2018 23:21:50.9469650","26/04/2018 18:35:31.0482292","26/04/2018 18:35:31.0482292","file:C:/Users/itsupport/Dropbox/ProjectE/libem/ProgressManager.py","libem","text/plain","12/03/2018 23:21:50.9469650","12/03/2018 23:21:50.9469650","12/03/2018 23:21:50.9469650",".py","6","False","False","False","12/03/2018 23:21:50.9469650","C:\Users\itsupport\Dropbox\ProjectE\libem","libem (C:\Users\itsupport\Dropbox\ProjectE)","ProgressManager.py","ProgressManager.py","ProgressManager","C:\Users\itsupport\Dropbox\ProjectE\libem\ProgressManager.py","ProgressManager (C:\Users\itsupport\Dropbox\ProjectE\libem)",".py","document","Document","text/plain","ProgressManager.py","1077936503","0","26/04/2018 18:35:50.8918791","0","file","1","6D3638123AEF628C","Python File","3047"
"04287CB9275D1A4E8FB8C714CAA69D83","15124E12","Utilities.py","862","Archive (32)","12/03/2018 23:21:50.9469650","26/04/2018 18:35:31.0794180","26/04/2018 18:35:31.0794180","file:C:/Users/itsupport/Dropbox/ProjectE/libem/Utilities.py","libem","text/plain","12/03/2018 23:21:50.9469650","12/03/2018 23:21:50.9469650","12/03/2018 23:21:50.9469650",".py","6","False","False","False","12/03/2018 23:21:50.9469650","C:\Users\itsupport\Dropbox\ProjectE\libem","libem (C:\Users\itsupport\Dropbox\ProjectE)","Utilities.py","Utilities.py","Utilities","C:\Users\itsupport\Dropbox\ProjectE\libem\Utilities.py","Utilities (C:\Users\itsupport\Dropbox\ProjectE\libem)",".py","document","Document","text/plain","Utilities.py","1077936503","0","26/04/2018 18:35:50.8918791","0","file","1","1B7622FD2596C9BE","Python File","3049"
"A3666D2F2A524A2F1B4BD877B9CEA447","15124E12","WindowsEventManager.py","28629","Archive (32)","12/03/2018 23:21:50.9626072","26/04/2018 18:35:31.1106656","26/04/2018 18:35:31.1106656","file:C:/Users/itsupport/Dropbox/ProjectE/libem/WindowsEventManager.py","libem","text/plain","12/03/2018 23:21:50.9626072","12/03/2018 23:21:50.9626072","12/03/2018 23:21:50.9626072",".py","6","False","False","False","12/03/2018 23:21:50.9626072","C:\Users\itsupport\Dropbox\ProjectE\libem","libem (C:\Users\itsupport\Dropbox\ProjectE)","WindowsEventManager.py","WindowsEventManager.py","WindowsEventManager","C:\Users\itsupport\Dropbox\ProjectE\libem\WindowsEventManager.py","WindowsEventManager (C:\Users\itsupport\Dropbox\ProjectE\libem)",".py","document","Document","text/plain","WindowsEventManager.py","1077936503","0","26/04/2018 18:35:52.0325685","0,015625","file","1","CED8AB9A2AC5AB77","Python File","3051"
"792C43FB89369CC968CC7B57AB233F62","15124E12","__init__.py","0","Archive (32)","12/03/2018 23:21:50.9626072","26/04/2018 18:35:31.1418511","26/04/2018 18:35:31.1418511","file:C:/Users/itsupport/Dropbox/ProjectE/libem/__init__.py","libem","text/plain","12/03/2018 23:21:50.9626072","12/03/2018 23:21:50.9626072","12/03/2018 23:21:50.9626072",".py","6","False","False","False","12/03/2018 23:21:50.9626072","C:\Users\itsupport\Dropbox\ProjectE\libem","libem (C:\Users\itsupport\Dropbox\ProjectE)","__init__.py","__init__.py","__init__","C:\Users\itsupport\Dropbox\ProjectE\libem\__init__.py","__init__ (C:\Users\itsupport\Dropbox\ProjectE\libem)",".py","document","Document","text/plain","__init__.py","1077936503","0","26/04/2018 18:35:50.8918791","0","file","1","569DA7C45C59619A","Python File","3053"
"792C43FB89369CC968CC7B57AB233F62","15124E12","__init__.py","0","Archive (32)","12/03/2018 23:21:51.0250777","26/04/2018 18:35:31.4074924","26/04/2018 18:35:31.4074924","file:C:/Users/itsupport/Dropbox/ProjectE/xlsx_templates/__init__.py","xlsx_templates","text/plain","12/03/2018 23:21:51.0250777","12/03/2018 23:21:51.0250777","12/03/2018 23:21:51.0250777",".py","6","False","False","False","12/03/2018 23:21:51.0250777","C:\Users\itsupport\Dropbox\ProjectE\xlsx_templates","xlsx_templates (C:\Users\itsupport\Dropbox\ProjectE)","__init__.py","__init__.py","__init__","C:\Users\itsupport\Dropbox\ProjectE\xlsx_templates\__init__.py","__init__ (C:\Users\itsupport\Dropbox\ProjectE\xlsx_templates)",".py","document","Document","text/plain","__init__.py","1077936503","0","26/04/2018 18:35:48.4856275","0","file","1","08967A000C7BD3CE","Python File","3072"
"4B264E0D5CB1EF57B0AD926000E2D384","15124E12","ProjectS.py","32829","Archive (32)","13/03/2018 15:54:19.1812604","26/04/2018 18:35:31.4856247","26/04/2018 18:35:31.4856247","file:C:/Users/itsupport/Dropbox/ProjectS/ProjectS.py","ProjectS","text/plain","13/03/2018 15:54:19.1812604","13/03/2018 15:54:19.1812604","13/03/2018 15:54:19.1812604",".py","6","False","False","False","13/03/2018 15:54:19.1812604","C:\Users\itsupport\Dropbox\ProjectS","ProjectS (C:\Users\itsupport\Dropbox)","ProjectS.py","ProjectS.py","ProjectS","C:\Users\itsupport\Dropbox\ProjectS\ProjectS.py","ProjectS (C:\Users\itsupport\Dropbox\ProjectS)",".py","document","Document","text/plain","ProjectS.py","1077936503","0","26/04/2018 18:35:48.4543900","0","file","1","4DD7A664FA3BA7EB","Python File","3078"
"792C43FB89369CC968CC7B57AB233F62","15124E12","__init__.py","0","Archive (32)","13/03/2018 15:54:19.2126471","26/04/2018 18:35:32.4231438","26/04/2018 18:35:32.4231438","file:C:/Users/itsupport/Dropbox/ProjectS/xlsx_templates/__init__.py","xlsx_templates","text/plain","13/03/2018 15:54:19.2126471","13/03/2018 15:54:19.2126471","13/03/2018 15:54:19.2126471",".py","6","False","False","False","13/03/2018 15:54:19.2126471","C:\Users\itsupport\Dropbox\ProjectS\xlsx_templates","xlsx_templates (C:\Users\itsupport\Dropbox\ProjectS)","__init__.py","__init__.py","__init__","C:\Users\itsupport\Dropbox\ProjectS\xlsx_templates\__init__.py","__init__ (C:\Users\itsupport\Dropbox\ProjectS\xlsx_templates)",".py","document","Document","text/plain","__init__.py","1077936503","0","26/04/2018 18:35:48.2200412","0","file","1","17858439332812A5","Python File","3155"
"90F61927590AA013394FE4F4E90680C0","15124E12","CustomStruct.py","2059","Archive (32)","09/04/2018 18:02:05.8278457","26/04/2018 18:35:32.4858605","26/04/2018 18:35:32.4858605","file:C:/Users/itsupport/Dropbox/ProjectC/CustomStruct.py","ProjectC","text/plain","09/04/2018 18:02:05.8278457","09/04/2018 18:02:05.8278457","09/04/2018 18:02:05.8278457",".py","6","False","False","False","09/04/2018 18:02:05.8278457","C:\Users\itsupport\Dropbox\ProjectC","ProjectC (C:\Users\itsupport\Dropbox)","CustomStruct.py","CustomStruct.py","CustomStruct","C:\Users\itsupport\Dropbox\ProjectC\CustomStruct.py","CustomStruct (C:\Users\itsupport\Dropbox\ProjectC)",".py","document","Document","text/plain","CustomStruct.py","1077936503","0","26/04/2018 18:35:48.2200412","0","file","1","578D34FA903B9735","Python File","3159"
"F51E508F39B362D0E1FC18CFCBD73695","15124E12","c_test.py","340","Archive (32)","09/04/2018 17:53:21.7635885","26/04/2018 18:35:32.5325150","26/04/2018 18:35:32.5325150","file:C:/Users/itsupport/Dropbox/ProjectC/c_test.py","ProjectC","text/plain","09/04/2018 17:53:21.7635885","09/04/2018 17:53:21.7635885","09/04/2018 17:53:21.7635885",".py","6","False","False","False","09/04/2018 17:53:21.7635885","C:\Users\itsupport\Dropbox\ProjectC","ProjectC (C:\Users\itsupport\Dropbox)","c_test.py","c_test.py","c_test","C:\Users\itsupport\Dropbox\ProjectC\c_test.py","c_test (C:\Users\itsupport\Dropbox\ProjectC)",".py","document","Document","text/plain","c_test.py","1077936503","0","26/04/2018 18:35:48.2045222","0","file","1","2804563EA093F013","Python File","3161"
